Identifiant capteur;Nom capteur;Direction;CDBIKESTATIONID;Date et heure;CDQT;Commune;Geo Shape;geo_point_2d
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-21T18:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-22T02:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-23T00:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-23T04:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-23T13:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-23T15:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-24T04:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-24T12:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-24T21:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-25T05:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-25T20:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-25T23:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-26T09:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-26T11:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-26T12:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-26T18:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-26T22:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-27T04:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-27T13:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-27T15:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-27T19:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-27T21:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-28T01:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-28T12:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-28T16:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-28T17:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-02-28T20:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-01T01:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-01T11:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T01:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T02:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T09:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T11:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T14:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T15:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-02T19:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-03T00:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-03T07:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-03T11:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-03T17:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-03T23:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T07:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T11:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T13:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T15:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T18:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-04T20:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-05T05:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
2;Lille - Av. Le Corbusier vers GLE;vers GLE;ECO011;2019-03-05T12:00:00+01:00;;Lille;"{""coordinates"": [3.0738641838, 50.6388660086], ""type"": ""Point""}";50.6388660086, 3.0738641838
